right_knee_angle,left_knee_angle,hip_angle
46.4901424590337,44.58520709648645,46.94306561430208
49.569089569224076,44.29753987582999,44.297589129152456
49.737638446522176,47.302304187458724,43.591576842195146
46.627680130757895,43.60974692156261,43.60281073928923
45.7258868146981,39.260159266026605,39.8252465024609
43.31313741227708,41.96150663899673,45.942741997785824
42.275927773436365,40.76308889599412,49.39694630676466
44.32267109854039,45.202584614063774,40.72575544135963
43.36685182642445,45.332767769129596,41.54701926773309
46.12709405503701,43.198083930243584,44.12491875062017
43.19488016331181,50.55683455352681,44.959508325786196
41.826867213132296,47.46763473630957,41.33746905008693
45.626590785014265,39.120989628360675,41.01544185330471
45.59058370760737,47.21539973998623,45.51410484356991
44.65305515283528,44.096688913232136,40.56443402889772
42.84046737481587,43.61808368712064,48.171366678656746
46.03085486870538,39.7108795339118,45.97225190818438
43.84475315875105,42.96923399908212,46.835028866522606
48.092998567487854,47.79384035734859,42.482347430332084
44.072362872446355,45.99379029421069,47.92663538136708
43.56247728646413,44.44302307000855,41.68099507798192
41.41138012775799,47.43757746718259,49.06872008571247
44.783969635259,48.01059869367607,46.084908075142906
43.06464073618463,46.08418681652524,49.61410969939791
44.892521882670145,49.69393096744202,37.140764687730766
47.46570751312567,45.26114120471451,44.1029779486024
45.275282329606505,39.03729325619732,44.340984336487466
46.07133771453524,49.43368213422455,43.44518934517906
42.574519191320434,43.49472886924639,47.746206353106224
45.98625332897905,43.41071938869889,46.53980229934007
45.29123264804412,47.90593497159867,42.89384071836794
44.01701356020669,43.823675540603524,40.60945515560364
45.88836083119373,45.783165816539665,45.01534036992738
44.296238599874556,40.75388777384876,43.73806403170392
43.97185645041969,42.59316819233514,44.516142865001974
46.212152570443614,50.65855770363159,45.52373343849552
45.772651172168295,44.7766622527015,39.24368635410288
44.92045837365235,45.18069062982308,52.389726337455855
44.42291710565663,45.90464202700084,44.89586469088427
41.49396588714141,48.428468443545064,47.25579909806032
47.37309584112914,42.27183763561578,49.2083829328083
40.79444681162316,46.760571281400814,51.57136687742994
42.028391024607934,43.30110681119169,45.29895409526292
43.489573037651404,40.348009706801605,45.205688924418084
41.813088858821686,46.420777291905544,42.24172729729859
49.649803215052614,42.65024012299129,44.03381545138297
47.44055165210901,41.30740705069813,45.68237980381239
48.921428262847286,40.17755029631632,45.55390157559691
45.77964838274527,47.34546861533193,41.289147867365756
41.03863016074717,46.56582469685069,45.89095401969956
45.75147855103763,46.03934462849093,42.95992583526453
45.69676109148301,45.879217419896044,42.856945745920896
50.59732353343427,46.42149876273536,41.42608950839205
46.96966082590149,42.075954989318035,47.36125381122736
48.47578673702221,42.53795304494487,47.890128387732965
46.238342780809496,47.46618047998347,50.69037894796184
44.263835651991386,42.738791506927534,42.33145671112343
42.55256914510368,44.76869487175769,46.023455924449934
45.83007239799006,47.48154974710807,45.039005675633724
49.36060223147195,44.206029500286135,53.160507499768855
46.87700204329502,42.42852733075115,41.78732250581666
46.447417245729554,44.32961164402245,47.14200148227628
46.419712873720634,44.781513262029385,42.459618845794786
40.4554583259424,43.660455143798934,47.56919638297042
45.64228123239061,41.262783663864035,45.519542777553546
46.15595213918651,42.3484276913966,45.461175317836584
