Frame,Knee_Flexion_Angle,Trunk_Lean_Angle
0,140.99342830602245,13.584629257949587
1,151.58162997875044,16.358078464398563
2,160.39342190508287,17.521992207805454
3,161.94607608710942,17.032725186922384
4,150.87289052780875,16.539893879922303
5,138.8971674161403,15.308867056320336
6,130.79524590660267,15.031708942548713
7,122.25802628710699,12.283051337152013
8,120.37809402282797,12.455106809927445
9,130.27230373805997,13.30363163186704
10,140.34164300750638,13.27150054367065
11,151.92429268659026,16.9018489536104
12,159.92015590960293,17.97566491491165
13,154.62052539277605,20.23030499479903
14,146.82371216644208,16.3486712099391
15,136.9743040754344,15.016379212421064
16,124.63895774900533,12.964981228745883
17,121.05244574089497,10.894914623736131
18,119.99131194186721,13.413926828451466
19,127.45145787532005,14.293342824385366
20,145.46314660931807,16.170809307764294
21,153.35002762866918,16.160849579651597
22,159.83121146962,19.357217569972722
23,155.0703791133998,16.286130260081727
24,148.07576498549784,16.9615366589825
25,137.06181725995276,16.71645143788993
26,123.44412941757814,11.871381160732724
27,120.95496719907268,11.46423794475443
28,121.16965535121074,12.455291274744893
29,130.82071425862998,13.207139609616284
30,142.58161166274942,14.017090302015099
31,158.3963905421685,17.272338100778622
32,159.84977483974922,16.919211679657657
33,155.20508621777697,18.0716686419885
34,149.66370053233868,15.283367371986044
35,133.15210204432717,15.88900280665792
36,125.30273570292434,11.949497984600988
37,116.1435642332016,11.687374155938498
38,120.34911930321285,13.264340927521125
39,132.9604733585317,12.654148316585063
40,146.49989290361236,15.98090389614736
41,155.86566584821506,18.635582147157695
42,159.74605021888368,16.389118782987794
43,156.04918970151687,17.68234342243662
44,143.88335888577853,16.28594322422543
45,132.92566044638198,14.936625201253019
46,123.1634856474638,11.375763767529426
47,122.11676189896033,10.679921003894098
48,124.39571753813021,13.07821370946589
49,130.23325077530475,14.36088433613772
50,146.8888368527593,16.186593187441336
51,155.52135448017404,17.790176065647977
52,158.64363855286558,17.319597661443133
53,157.13858938829839,17.6195392187535
54,147.69665018182047,16.138270143822968
55,135.02215737171898,13.25958815199662
56,121.67016786085934,14.36806494724045
57,119.40422846463741,12.477230903362763
58,125.13959757697197,11.480257109922077
59,136.92813051062313,14.903109647090591
60,146.474900637516,15.140305696753662
61,156.62319064566267,18.336260893591
62,157.72442557102679,19.149159906863233
63,152.72257823892386,16.44656640471107
64,146.03126230051922,16.62430772760395
65,134.6938693490094,14.209989320716659
66,122.53547168115055,13.223983948641173
67,122.13029650655895,13.915277589270183
68,126.03143787694455,12.550836758024522
69,134.9247356035815,13.678510102561273
70,149.31868945280024,15.399870306641988
71,159.49824385015944,17.69061877089455
72,157.31098365595048,19.616500547263175
73,153.76248108403294,20.065441385504965
74,133.09295150439104,19.198970849319046
75,126.4447918155816,18.76284851144001
76,115.01283934030481,17.49743436210735
77,111.25755437675514,19.533593576741385
78,116.72676890963568,19.56165785645364
79,122.6309441338059,25.099012495523525
80,137.21562542909294,25.704947211238814
81,145.63100298114833,26.354497050336924
82,148.04907839308896,27.21034242679012
83,136.60918440136476,28.689675968516198
84,123.38758193615932,27.130670861828072
85,110.6194898055008,27.104002802130502
86,104.07337352572634,26.499278190535666
87,100.70402947353817,26.6669087961656
88,104.36058946770063,27.742084832182318
89,116.8270219903368,29.674191361172024
90,126.86904041332531,33.4167868106446
91,135.275419600161,36.76229065098086
92,131.32101284551314,37.071137461189345
93,123.94923474156143,35.43632438684639
94,110.88482512231778,35.95801989875918
95,95.5593590333769,35.23586192607156
96,90.31291383500819,33.694933211103134
97,88.83785881892655,35.56488045057881
98,94.35896488391619,37.417415965764825
99,104.53082573324964,38.85702970216937
