Frame,Dense_AE_Score,LSTM_AE_Score
0,0.2483570765056163,0.2731927841561779
1,0.0691321505855923,0.15183139848704508
2,0.3238442690503462,0.2736788682030099
3,0.7615149282040127,0.5775561775713952
4,0.1170766873616679,0.29753301732016413
5,0.1170684784745902,0.20144773441800154
6,0.7896064077536957,0.5803411357849477
7,0.3837173645764544,0.48092066625066177
8,0.234737192967476,0.3151693420834985
9,0.2712800217929823,0.33208954376591243
10,0.2317088464062311,0.24516430935579953
11,0.2328648767851284,0.22731354771226267
12,0.120981135783017,0.19788869916519797
13,0.956640122328899,0.4755513417250077
14,0.8624589162565164,0.6305912434815553
15,0.2811437646204863,0.470876073401798
16,0.5064155601672119,0.452061448998808
17,0.1571236662976369,0.3456257022863468
18,0.4540120377606054,0.3465614829325337
19,0.7061518506676457,0.47844208362135543
20,0.732824384460777,0.7142232650205262
21,0.1128881502432678,0.3656256733845314
22,0.0337641023439619,0.2087157056108062
23,0.7123740931067284,0.38761928493089637
24,0.2721913622625913,0.3383048920258211
25,0.055461294854933,0.21603879103899992
26,0.5754967887111514,0.33544504626121385
27,0.1878490091728359,0.309206768069866
28,0.3003193449594025,0.2653386715600522
29,0.1458468748966384,0.20602405298665158
30,0.3008533061146984,0.23064569268403706
31,0.9261390922544688,0.6860489670004347
32,0.0067486123689669,0.29941697383508065
33,0.5288554644779502,0.36158810332716873
34,0.4112724560515945,0.4540002985184386
35,0.6104218249855111,0.45060525645084404
36,0.1044317975023777,0.3184827979761242
37,0.9798350619398878,0.5459538338888984
38,0.6640930244492153,0.5876058798211297
39,0.0984306179345617,0.38606596189376263
40,0.3692332899977052,0.40965142404877636
41,0.0856841405949852,0.23777453188149403
42,0.0578241411941202,0.13773271538864584
43,0.1505518477946444,0.1319783038718867
44,0.7392609951837137,0.36922114239916104
45,0.3599221041973543,0.36554246263770795
46,0.2303193854798937,0.2928950907206792
47,0.5285611131094579,0.475100182500009
48,0.1718091447842307,0.31420752246507
49,0.881520077681367,0.5011213350658702
50,0.1620419846973975,0.39186186223544195
51,0.1925411402081582,0.26484528796611434
52,0.3384610001529793,0.2774341010546568
53,0.3058381444204339,0.3391429871872377
54,0.5154997612479755,0.46357944312138244
55,0.4656400595580993,0.485398769233152
56,0.4196087616113192,0.3872608862831987
57,0.1546061879256073,0.27645335639240826
58,0.1656317157017819,0.24533601701355365
59,0.4877725635611796,0.4070499608583955
60,0.2395871189226449,0.2749711998201967
61,0.0928294883319085,0.186596751188994
62,0.5531674870030141,0.31920684481229805
63,0.5981033120403354,0.42650312157243386
64,0.406262911197099,0.4869144731064931
65,0.6781200142854115,0.6300160995646386
66,0.0360050607901669,0.29550407338411544
67,0.5017664489460121,0.45061215909917335
68,0.180818012523817,0.30870856461657625
69,0.3225598773025621,0.2743373326031221
70,0.1806978027542069,0.26171534181921335
71,0.8379838004743639,0.6177165093323768
72,0.1558440540377343,0.34653806556790867
73,0.989218379631141,0.747006056367974
74,1.585734621010389,0.9962669920893441
75,0.7557788383945085,0.9826116680629312
76,0.4573166375673614,0.7037689436176742
77,0.6322622959225889,0.6508890755408838
78,0.5976045261987857,0.6363100234582566
79,1.6144741124728603,1.0237196028221263
80,0.7994911163325491,0.9503109880504844
81,0.9371769754110456,0.9670914075022901
82,1.5665332292673098,1.3317792063340819
83,1.1556868332747547,1.1808721577721981
84,1.369764042825904,1.2478501756112328
85,1.285361280412958,1.2617302159051982
86,1.561149334713106,1.4697538072838692
87,1.3367893479332904,1.3968240801490124
88,1.506259412228347,1.4168349582588355
89,1.566978544142885,1.5308141279507042
90,1.4278491195016063,1.4713538153657235
91,1.9325983573354104,1.7479813971435105
92,1.868267926249021,1.748805882239076
93,1.7500379698506083,1.7505901460618876
94,1.8512264903591824,1.7894944642188713
95,2.455895405100542,2.059321891081405
96,1.94116358680815,2.0516366265013093
97,1.992596601607186,2.0277663707366274
98,1.933591211079851,1.9744080819358651
99,2.1172935666875734,2.0339936312269002
