Window_Index,Anomaly_Score,Hip_Velocity,Motion_Cluster
0,0.2483570765056163,4.7169258515899175,2
1,0.0691321505855923,4.915870935446928,2
2,0.3238442690503462,4.931457096694646,2
3,0.7615149282040127,4.839544546155676,0
4,0.1170766873616679,4.967742857666798,2
5,0.1170684784745902,5.080810171362908,2
6,0.7896064077536957,5.377237180242106,0
7,0.3837173645764544,5.034915562566368,2
8,0.234737192967476,5.0515100781445526,2
9,0.2712800217929823,4.985110816846767,2
10,0.2317088464062311,4.616245756940192,2
11,0.2328648767851284,4.994697224910157,2
12,0.120981135783017,5.012046041988206,2
13,0.956640122328899,5.492648422497057,0
14,0.8624589162565164,4.961527807043775,0
15,0.2811437646204863,5.0603094684667225,2
16,0.5064155601672119,4.993057646058952,2
17,0.1571236662976369,4.766264392476094,2
18,0.4540120377606054,5.228564562903004,2
19,0.7061518506676457,5.150386606537355,0
20,0.732824384460777,5.158206389408609,0
21,0.1128881502432678,4.818122509041052,2
22,0.0337641023439619,5.28055886218722,2
23,0.7123740931067284,4.719629787441544,0
24,0.2721913622625913,5.117371418760054,2
25,0.055461294854933,5.438091125161995,2
26,0.5754967887111514,4.801892734973863,0
27,0.1878490091728359,4.886740454079446,2
28,0.3003193449594025,5.019930273017528,2
29,0.1458468748966384,4.89930486917676,2
30,0.3008533061146984,4.689867313786774,2
31,0.9261390922544688,5.013712594961206,0
32,0.0067486123689669,4.787539257254779,2
33,0.5288554644779502,5.094718486127037,2
34,0.4112724560515945,4.816115153153239,2
35,0.6104218249855111,5.309986881003508,0
36,0.1044317975023777,4.843349341532752,2
37,0.9798350619398878,4.935587696758865,0
38,0.6640930244492153,5.162703443473934,0
39,0.0984306179345617,4.753827136713209,2
40,0.3692332899977052,5.045491986920826,2
41,0.0856841405949852,5.261428550856485,2
42,0.0578241411941202,4.678503353087755,2
43,0.1505518477946444,5.036926771706461,2
44,0.7392609951837137,5.0519765588496846,0
45,0.3599221041973543,5.156364574355462,2
46,0.2303193854798937,4.752609857824384,2
47,0.5285611131094579,4.7359086773831445,2
48,0.1718091447842307,5.10438831312338,2
49,0.881520077681367,5.059396934646637,0
50,0.1620419846973975,5.050098570069175,2
51,0.1925411402081582,5.069289641899395,2
52,0.3384610001529793,4.863995055684302,2
53,0.3058381444204339,5.046450739432201,2
54,0.5154997612479755,5.058614494659737,2
55,0.4656400595580993,4.857129716394726,2
56,0.4196087616113192,5.373154902228952,2
57,0.1546061879256073,5.0947665841823575,2
58,0.1656317157017819,4.76173930055947,2
59,0.4877725635611796,5.131310721726766,2
60,0.2395871189226449,4.805063665954536,2
61,0.0928294883319085,5.15741692074849,2
62,0.5531674870030141,5.23171911580148,2
63,0.5981033120403354,4.835863536329658,0
64,0.406262911197099,5.192675225848864,2
65,0.6781200142854115,5.0825561853873,0
66,0.0360050607901669,5.164412031998898,2
67,0.5017664489460121,5.379358596530789,2
68,0.180818012523817,4.950922376799426,2
69,0.3225598773025621,4.849252767128502,2
70,0.1806978027542069,4.822097114074896,2
71,0.8379838004743639,4.836837943006913,0
72,0.1558440540377343,4.98457965811718,2
73,0.989218379631141,5.0682303949633285,0
74,1.585734621010389,5.055338159866004,0
75,0.7557788383945085,5.165436649807205,0
76,0.4573166375673614,4.940100378375582,2
77,0.6322622959225889,5.165706815431463,0
78,0.5976045261987857,4.7595686333524085,0
79,1.6144741124728603,5.294033833317924,0
80,0.7994911163325491,4.812633469553001,0
81,0.9371769754110456,4.453568488716743,0
82,1.5665332292673098,4.348321500387778,1
83,1.1556868332747547,4.596494483048637,0
84,1.369764042825904,4.39280744293483,1
85,1.285361280412958,4.517800098818419,0
86,1.561149334713106,4.407147524914709,1
87,1.3367893479332904,4.235434217468625,1
88,1.506259412228347,4.018141256386319,1
89,1.566978544142885,3.822030555062828,1
90,1.4278491195016063,3.9731970095865954,1
91,1.9325983573354104,4.171279758864695,1
92,1.868267926249021,3.9803187488260408,1
93,1.7500379698506083,3.625852244257602,1
94,1.8512264903591824,3.847136185170237,1
95,2.455895405100542,3.827063475945767,1
96,1.94116358680815,3.5107285127597736,1
97,1.992596601607186,3.655745021189105,1
98,1.933591211079851,3.5741417436892,1
99,2.1172935666875734,3.271405940433876,1
