Window_Index,Anomaly_Score,Hip_Velocity
0,100.58140257857558,8.5
1,101.11377902690418,8.899055268350013
2,105.5232017805986,9.269348916108859
3,106.06544308642951,9.584192295741087
4,102.5662122216954,9.820893297785107
5,102.20114795923426,9.962391868272736
6,102.44995143330365,9.998489599811972
7,103.81600772312906,9.92658477444273
8,107.08821386539081,9.751859880581954
9,106.38702933147758,9.48690808890957
10,105.63049939535546,9.150825608676337
11,106.88569893508541,8.767835342197955
12,109.88964199903289,8.36554103664485
13,110.64253947856052,7.972937763877987
14,111.70611987309313,7.61832212156129
15,111.23655107161365,7.327252776297955
16,111.290511027828,7.120708341172824
17,111.29094139477644,7.013575357348098
18,109.6699870625412,7.013575357348097
19,106.49050113809781,7.120708341172824
20,105.49746605648461,7.327252776297955
21,106.39973808215136,7.61832212156129
22,108.53232589278748,7.972937763877986
23,108.4827328753217,8.36554103664485
24,110.32435998800118,8.767835342197955
25,110.13609730013472,9.150825608676337
26,109.78119992528558,9.48690808890957
27,109.68313788172739,9.751859880581954
28,109.60661280972866,9.92658477444273
29,106.95670465175083,9.998489599811972
30,105.72417980106574,9.962391868272736
31,106.9679981819273,9.820893297785107
32,106.98094373850348,9.584192295741088
33,106.81357364417487,9.269348916108859
34,106.09430425632995,8.899055268350013
35,105.08952357762381,8.5
36,104.15315559429746,8.100944731649989
37,104.52551738002373,7.730651083891141
38,99.34376972878482,7.4158077042589134
39,95.77967257922086,7.179106702214893
40,95.51520463958003,7.037608131727264
41,96.90555452425522,7.001510400188028
42,99.90787266737529,7.0734152255572695
43,99.59905988618603,7.2481401194180455
44,99.20999180802134,7.513091911090431
45,99.8552023709667,7.849174391323662
46,101.61857335175381,8.232164657802045
47,106.14372729931524,8.634458963355149
48,113.56690785996156,9.027062236122013
49,118.2188759518316,9.381677878438708
50,123.40141077343034,9.672747223702045
51,125.19462026279243,9.879291658827176
52,124.61929491938407,9.986424642651903
53,123.07151554289426,9.986424642651903
54,121.62981005360429,9.879291658827176
55,127.16220935458799,9.672747223702045
56,142.49729973265315,9.38167787843871
57,159.45081083788529,9.027062236122015
58,179.17856395084289,8.63445896335515
59,198.4551247072143,8.232164657802047
60,210.6803153484053,7.849174391323664
61,218.87787409540243,7.513091911090432
62,222.9739936039375,7.248140119418046
63,227.3085824336051,7.0734152255572695
64,235.7454304352958,7.001510400188028
65,255.73046890851717,7.037608131727264
66,293.5395934528145,7.179106702214892
67,333.8047727924567,7.415807704258912
68,377.74384927909017,7.730651083891139
69,416.56837734414074,8.100944731649987
70,446.33791759115974,8.499999999999998
