Window_Index,Anomaly_Score,Hip_Velocity,Smoothed_Rolling,Smoothed_EMA
0,0.2483570765056163,4.7169258515899175,0.2483570765056163,0.2483570765056163
1,0.0691321505855923,4.915870935446928,0.15874461354560432,0.18861543453227497
2,0.3238442690503462,4.931457096694646,0.21377783204718492,0.23369171270496542
3,0.7615149282040127,4.839544546155676,0.35071210608639186,0.4096327845379812
4,0.1170766873616679,4.967742857666798,0.3039850223414471,0.31211408547921016
5,0.1170684784745902,5.080810171362908,0.2777273027352419,0.24709888314433687
6,0.7896064077536957,5.377237180242106,0.42182215416886254,0.4279347246807898
7,0.3837173645764544,5.034915562566368,0.4337967732740841,0.41319560464601135
8,0.234737192967476,5.0515100781445526,0.32844122622677685,0.35370946741983295
9,0.2712800217929823,4.985110816846767,0.3592818931130397,0.3262329855442161
10,0.2317088464062311,4.616245756940192,0.3822099666993679,0.2947249391648878
11,0.2328648767851284,4.994697224910157,0.27086166050565447,0.27410491837163464
12,0.120981135783017,5.012046041988206,0.21831441474696694,0.22306365750876211
13,0.956640122328899,5.492648422497057,0.3626950006192516,0.46758914578214106
14,0.8624589162565164,4.961527807043775,0.4809307795119584,0.5992124026069329
15,0.2811437646204863,5.0603094684667225,0.4908177631548094,0.4931895232781174
16,0.5064155601672119,4.993057646058952,0.5455278998312261,0.4975982022411489
17,0.1571236662976369,4.766264392476094,0.5527564059341501,0.3841066902599783
18,0.4540120377606054,5.228564562903004,0.4522307890204914,0.4074084727601873
19,0.7061518506676457,5.150386606537355,0.4209693759027172,0.5069895987293401
20,0.732824384460777,5.158206389408609,0.5113054998707753,0.5822678606398191
21,0.1128881502432678,4.818122509041052,0.4326000178859866,0.425807957174302
22,0.0337641023439619,5.28055886218722,0.40792810509525157,0.2951266722308553
23,0.7123740931067284,4.719629787441544,0.45960051616447617,0.43420914585614634
24,0.2721913622625913,5.117371418760054,0.3728084184834653,0.38020321799162804
25,0.055461294854933,5.438091125161995,0.23733580056229645,0.2719559102793964
26,0.5754967887111514,4.801892734973863,0.32985752825587317,0.3731362030899814
27,0.1878490091728359,4.886740454079446,0.360674509621648,0.3113738051175996
28,0.3003193449594025,5.019930273017528,0.2782635599921828,0.30768898506486725
29,0.1458468748966384,4.89930486917676,0.25299466251899216,0.253741615008791
30,0.3008533061146984,4.689867313786774,0.3020730647709453,0.2694455120440935
31,0.9261390922544688,5.013712594961206,0.37220152547960883,0.48834337211421863
32,0.0067486123689669,4.787539257254779,0.33598144611883496,0.3278117855324681
33,0.5288554644779502,5.094718486127037,0.38168867002254453,0.39482634518096216
34,0.4112724560515945,4.816115153153239,0.43477378625353574,0.4003083821378396
35,0.6104218249855111,5.309986881003508,0.49668749002769824,0.47034619642039677
36,0.1044317975023777,4.843349341532752,0.3323460310772801,0.3483747301143904
37,0.9798350619398878,4.935587696758865,0.5269633209914643,0.5588615073895562
38,0.6640930244492153,5.162703443473934,0.5540108329857173,0.5939386797427759
39,0.0984306179345617,4.753827136713209,0.4914424653623108,0.42876932580670457
40,0.3692332899977052,5.045491986920826,0.44320475836474954,0.40892398053703816
41,0.0856841405949852,5.261428550856485,0.439455226983271,0.3011773672230205
42,0.0578241411941202,4.678503353087755,0.2550530428341175,0.2200596252133871
43,0.1505518477946444,5.036926771706461,0.15234480750320334,0.1968903660738062
44,0.7392609951837137,5.0519765588496846,0.2805108829530337,0.3776805757771087
45,0.3599221041973543,5.156364574355462,0.27864864579296356,0.3717610852505239
46,0.2303193854798937,4.752609857824384,0.3075756947699453,0.32461385199364723
47,0.5285611131094579,4.7359086773831445,0.40172308915301275,0.39259627236558414
48,0.1718091447842307,5.10438831312338,0.40597454855093007,0.3190005631717997
49,0.881520077681367,5.059396934646637,0.4344263650504607,0.5065070680083221
50,0.1620419846973975,5.050098570069175,0.3948503411504693,0.3916853735713473
